numero,page,texte,lien,Entreprise
0878.065.378,1,"16) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163587 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=15&btw=878065378,Google Belgium
0878.065.378,1,"17) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163588 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=16&btw=878065378,Google Belgium
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163588 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2017/11/23/17163588.pdf,Google Belgium
0878.065.378,1,"17) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-11-23 / 0163588 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=16&btw=878065378,Google Belgium
0878.065.378,1,"18) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-01-06 / 0003705 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=17&btw=878065378,Google Belgium
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-01-06 / 0003705 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2017/01/06/17003705.pdf,Google Belgium
0878.065.378,1,"18) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2017-01-06 / 0003705 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=17&btw=878065378,Google Belgium
0878.065.378,1,"19) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2015, GGK 03.06.2016, NGL 16.06.2016 16191-0202-037 2016-06-23 / 0108350",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=18&btw=878065378,Google Belgium
0878.065.378,1,"19) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2015, GGK 03.06.2016, NGL 16.06.2016 16191-0202-037 2016-06-23 / 0108350 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=18&btw=878065378,Google Belgium
0878.065.378,1,"20) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2016-02-17 / 0025190 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=19&btw=878065378,Google Belgium
