numero,page,texte,lien,Entreprise
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2016-02-17 / 0025190 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2016/02/17/16025190.pdf,Google Belgium
0878.065.378,1,"20) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2016-02-17 / 0025190 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=19&btw=878065378,Google Belgium
0878.065.378,1,"21) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 BOEKJAAR 2015-07-28 / 0108399 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=20&btw=878065378,Google Belgium
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 BOEKJAAR 2015-07-28 / 0108399 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2015/07/28/15108399.pdf,Google Belgium
0878.065.378,1,"21) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 BOEKJAAR 2015-07-28 / 0108399 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=20&btw=878065378,Google Belgium
0878.065.378,1,"22) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2014, GGK 05.06.2015, NGL 18.06.2015 15192-0053-037 2015-06-24 / 0109746",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=21&btw=878065378,Google Belgium
0878.065.378,1,"22) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2014, GGK 05.06.2015, NGL 18.06.2015 15192-0053-037 2015-06-24 / 0109746 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=21&btw=878065378,Google Belgium
0878.065.378,1,"23) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2015-04-28 / 0061207 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=22&btw=878065378,Google Belgium
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2015-04-28 / 0061207 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2015/04/28/15061207.pdf,Google Belgium
0878.065.378,1,"23) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2015-04-28 / 0061207 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=22&btw=878065378,Google Belgium
0878.065.378,1,"24) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2014-12-09 / 0219476 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=23&btw=878065378,Google Belgium
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2014-12-09 / 0219476 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2014/12/09/14219476.pdf,Google Belgium
0878.065.378,1,"24) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2014-12-09 / 0219476 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=23&btw=878065378,Google Belgium
0878.065.378,1,"25) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2014-10-17 / 0189917 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=24&btw=878065378,Google Belgium
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2014-10-17 / 0189917 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2014/10/17/14189917.pdf,Google Belgium
0878.065.378,1,"25) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2014-10-17 / 0189917 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=24&btw=878065378,Google Belgium
0878.065.378,1,"26) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2013, GGK 17.06.2014, NGL 06.08.2014 14412-0034-037 2014-08-14 / 0239287",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=25&btw=878065378,Google Belgium
0878.065.378,1,"26) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2013, GGK 17.06.2014, NGL 06.08.2014 14412-0034-037 2014-08-14 / 0239287 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=25&btw=878065378,Google Belgium
0878.065.378,1,"27) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ME. - JAARREKENING 31.12.2012, GGK 17.05.2013, NGL 18.06.2013 13191-0013-040 2013-06-24 / 0111006",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=26&btw=878065378,Google Belgium
