numero,page,texte,lien
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2016-04-15 / 0052650 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2016/04/15/16052650.pdf
0836.157.420,1,"11) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2016-04-15 / 0052650 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=10&btw=836157420
0836.157.420,1,"12) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 26.09.2015, GGK 23.03.2016, NGL 30.03.2016 16080-0181-034 2016-04-05 / 0047588",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=11&btw=836157420
0836.157.420,1,"12) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ME. - JAARREKENING 26.09.2015, GGK 23.03.2016, NGL 30.03.2016 16080-0181-034 2016-04-05 / 0047588 DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=11&btw=836157420
0836.157.420,1,"13) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2015-12-09 / 0171254 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=12&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2015-12-09 / 0171254 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2015/12/09/15171254.pdf
0836.157.420,1,"13) APPLE RETAIL BELGIUM BVBA HAVENLAAN 86C, BUS 204 1000 BRUSSEL 836.157.420 ONTSLAGEN - BENOEMINGEN 2015-12-09 / 0171254 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=12&btw=836157420
0836.157.420,1,"14) APPLE RETAIL BELGIUM SPRL HAVENLAAN 86C, BUS 204 1000 BRUXELLES 836.157.420 CAPITAL, ACTIONS 2015-12-01 / 0167676 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=13&btw=836157420
0836.157.420,1,"HAVENLAAN 86C, BUS 204 1000 BRUXELLES 836.157.420 CAPITAL, ACTIONS 2015-12-01 / 0167676 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2015/12/01/15167676.pdf
0836.157.420,1,"14) APPLE RETAIL BELGIUM SPRL HAVENLAAN 86C, BUS 204 1000 BRUXELLES 836.157.420 CAPITAL, ACTIONS 2015-12-01 / 0167676 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=836157420&page=1&la_search=f&caller=list&=13&btw=836157420
