Entreprise,Source_table,0,1,2,3
SNCB,0,Type entiteit:,Rechtspersoon,Rechtspersoon,Rechtspersoon
SNCB,0,Rechtsvorm:,Naamloze vennootschap van publiek recht  Sinds 21 maart 1991,Naamloze vennootschap van publiek recht  Sinds 21 maart 1991,Naamloze vennootschap van publiek recht  Sinds 21 maart 1991
SNCB,0,Aantal vestigingseenheden (VE):,270 Lijst VE - Gegevens en activiteiten per VE,270 Lijst VE - Gegevens en activiteiten per VE,
SNCB,0,,,,
SNCB,0,Functies,Functies,Functies,Functies
SNCB,0,Er zijn 14 functiehouders voor deze entiteit. Toon de functiehouders.,Er zijn 14 functiehouders voor deze entiteit. Toon de functiehouders.,Er zijn 14 functiehouders voor deze entiteit. Toon de functiehouders.,
SNCB,0,,,,
SNCB,0,,,,
SNCB,0,Ondernemersvaardigheden - ambulant - kermisuitbater,Ondernemersvaardigheden - ambulant - kermisuitbater,Ondernemersvaardigheden - ambulant - kermisuitbater,Ondernemersvaardigheden - ambulant - kermisuitbater
SNCB,0,Vrijstelling niet - KMO Sinds 12 augustus 2014,Vrijstelling Sinds 12 augustus 2014,Vrijstelling Sinds 12 augustus 2014,Vrijstelling Sinds 12 augustus 2014
SNCB,0,,,,
SNCB,0,Hoedanigheden,Hoedanigheden,Hoedanigheden,Hoedanigheden
SNCB,0,Onderworpen aan btw Sinds 1 oktober 1977,Onderworpen aan btw Sinds 1 oktober 1977,Onderworpen aan btw Sinds 1 oktober 1977,
SNCB,0,Inschrijvingsplichtige onderneming Sinds 1 november 2018,Inschrijvingsplichtige onderneming Sinds 1 november 2018,Inschrijvingsplichtige onderneming Sinds 1 november 2018,
SNCB,0,Aanbestedende overheid Sinds 1 januari 1968,Aanbestedende overheid Sinds 1 januari 1968,Aanbestedende overheid Sinds 1 januari 1968,
SNCB,0,Lid van een bestuursorgaan Sinds 1 januari 2024,Lid van een bestuursorgaan Sinds 1 januari 2024,Lid van een bestuursorgaan Sinds 1 januari 2024,
SNCB,0,,,,
SNCB,0,Toelatingen,Toelatingen,Toelatingen,Toelatingen
SNCB,0,BELAC - Keuringsinstelling,BELAC - Keuringsinstelling,BELAC - Keuringsinstelling,
SNCB,0,,,,
SNCB,0,Btw-activiteiten Nacebelcode versie 2025(1),Btw-activiteiten Nacebelcode versie 2025(1),Btw-activiteiten Nacebelcode versie 2025(1),
SNCB,0,Btw  2025 80.010  - Opsporings- en particuliere beveiligingsdiensten Sinds 1 januari 2025,Btw  2025 80.010  - Opsporings- en particuliere beveiligingsdiensten Sinds 1 januari 2025,Btw  2025 80.010  - Opsporings- en particuliere beveiligingsdiensten Sinds 1 januari 2025,
SNCB,0,Btw  2025 49.110  - Personenvervoer per trein Sinds 1 januari 2025,Btw  2025 49.110  - Personenvervoer per trein Sinds 1 januari 2025,Btw  2025 49.110  - Personenvervoer per trein Sinds 1 januari 2025,
SNCB,0,,,,
SNCB,0,Toon de activiteiten NACE-BEL-codes versie 2008.,Toon de activiteiten NACE-BEL-codes versie 2008.,Toon de activiteiten NACE-BEL-codes versie 2008.,
SNCB,0,,,,
SNCB,0,Toon de activiteiten NACE-BEL-codes versie 2003.,Toon de activiteiten NACE-BEL-codes versie 2003.,Toon de activiteiten NACE-BEL-codes versie 2003.,
