numero,page,texte,lien
0878.065.378,1,"11) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2021-02-15 / 0019945 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=10&btw=878065378
0878.065.378,1,"12) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2020-11-13 / 0134625 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=11&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2020-11-13 / 0134625 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2020/11/13/20134625.pdf
0878.065.378,1,"12) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2020-11-13 / 0134625 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=11&btw=878065378
0878.065.378,1,"13) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2020-09-16 / 0106867 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=12&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2020-09-16 / 0106867 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2020/09/16/20106867.pdf
0878.065.378,1,"13) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 ONTSLAGEN - BENOEMINGEN 2020-09-16 / 0106867 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=12&btw=878065378
0878.065.378,1,"14) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) - ALGEMENE VERGADERING 2019-03-08 / 0310143 IMAGE",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=13&btw=878065378
0878.065.378,1,"GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) - ALGEMENE VERGADERING 2019-03-08 / 0310143 IMAGE",https://www.ejustice.just.fgov.be/tsv_pdf/2019/03/08/19310143.pdf
0878.065.378,1,"14) GOOGLE BELGIUM NV GOOGLEPLEX, STEENWEG OP ETTERBEEK 180 1040 BRUSSEL 878.065.378 STATUTEN (VERTALING, COÖRDINATIE, OVERIGE WIJZIGINGEN, ) - ALGEMENE VERGADERING 2019-03-08 / 0310143 IMAGE DETAIL",https://www.ejustice.just.fgov.be/cgi_tsv/article.pl?language=fr&btw_search=878065378&page=1&la_search=f&caller=list&=13&btw=878065378
